date,state,positive,negative,death,dataQualityGrade,totalTestResults,new_negatives,new_positives,new_tests,ratio_new_positives
20200529,AK,430,49009,10,A,49439,1464,5,1469,0.003403676
20200529,AL,16823,192060,605,B,208883,7889,513,8402,0.061056891
20200529,AR,6538,113230,125,A,119768,866,0,866,0
20200529,AS,0,174,0,C,174,0,0,0,0
20200529,AZ,18465,191348,885,A+,209813,6197,702,6899,0.101753877
20200529,CA,103886,1731592,4068,B,1835478,42730,2189,44919,0.048732162
20200529,CO,25121,143838,1421,A,168959,5482,354,5836,0.060657985
20200529,CT,41762,199631,3868,B,241393,5665,203,5868,0.03459441
20200529,DC,8538,35320,460,A+,43858,298,46,344,0.13372093
20200529,DE,9236,48297,356,A,57533,667,65,732,0.088797814
20200529,FL,54497,928742,2495,A,983239,30411,1212,31623,0.038326534
20200529,GA,45670,404601,1974,A,450271,5025,600,5625,0.106666667
20200529,GU,172,5923,5,C,6095,133,0,133,0
20200529,HI,647,52177,17,D,52824,982,3,985,0.003045685
20200529,IA,18926,128394,522,A+,147320,4034,353,4387,0.08046501
20200529,ID,2769,41992,82,A,44761,848,38,886,0.042889391
20200529,IL,117455,734307,5270,A,851762,20174,1622,21796,0.074417324
20200529,IN,33558,215155,2110,A+,248713,5936,490,6426,0.076252723
20200529,KS,9719,85230,208,A,94949,10079,382,10461,0.036516585
20200529,KY,9184,212090,409,A,221274,39066,107,39173,0.002731473
20200529,LA,38802,316225,2766,B,355027,0,0,0,0
20200529,MA,95512,476233,6718,A,571745,8805,617,9422,0.065485035
20200529,MD,50988,233530,2466,B,284518,8381,1279,9660,0.132401656
20200529,ME,2226,43480,85,B,45706,0,37,37,1
20200529,MI,56621,464986,5406,A+,521607,16542,607,17149,0.03539565
20200529,MN,23531,210342,1006,A,233873,8081,584,8665,0.067397576
20200529,MO,12795,165055,738,B,177850,6661,122,6783,0.017986142
20200529,MP,22,5662,2,D,5684,261,0,261,0
20200529,MS,14790,151518,710,A,166308,9393,418,9811,0.042605239
20200529,MT,493,38036,17,C,38529,1728,8,1736,0.004608295
20200529,NC,26488,364743,859,A,391231,14963,1076,16039,0.067086477
20200529,ND,2520,66933,59,C,69453,1160,39,1199,0.032527106
20200529,NE,13261,81542,164,D,94803,1538,285,1823,0.15633571
20200529,NH,4386,62476,232,B,66862,1166,100,1266,0.078988942
20200529,NJ,158844,557567,11531,A+,716411,29525,1029,30554,0.033678078
20200529,NM,7364,176180,335,C,183544,3889,112,4001,0.027993002
20200529,NV,8350,126066,410,A+,134416,3084,142,3226,0.044017359
20200529,NY,368284,1575846,23780,A,1944130,65790,1551,67341,0.023032031
20200529,OH,34566,335324,2131,B,369890,9227,651,9878,0.065904029
20200529,OK,6338,181060,329,A+,187398,4924,68,4992,0.013621795
20200529,OR,4131,118550,151,A+,122681,2989,45,3034,0.014831905
20200529,PA,71339,366970,5464,A,438309,9166,1297,10463,0.123960623
20200529,PR,3647,0,132,B,3647,0,161,161,1
20200529,RI,14635,131720,693,A+,146355,5849,141,5990,0.023539232
20200529,SC,11131,177126,483,A,188257,5665,343,6008,0.057090546
20200529,SD,4866,35816,59,B,40682,1583,73,1656,0.044082126
20200529,TN,22085,399882,360,B,421967,5572,406,5978,0.067915691
20200529,TX,59776,833499,1626,B,893275,20057,0,20057,0
20200529,UT,9264,196591,107,B,205855,2005,343,2348,0.146081772
20200529,VA,42533,255844,1358,A+,298377,9964,1132,11096,0.102018745
20200529,VI,69,1633,6,C,1702,16,0,16,0
20200529,VT,975,30910,55,B,31885,732,1,733,0.001364256
20200529,WA,20764,322327,1106,B,343091,6932,358,7290,0.049108368
20200529,WI,17707,233588,568,A+,251295,12869,733,13602,0.053889134
20200529,WV,1951,91426,74,B,93377,3017,45,3062,0.014696277
20200529,WY,891,22378,15,C,23269,92,17,109,0.155963303
20200528,AK,425,47545,10,B,47970,1594,13,1607,0.008089608
20200528,AL,16310,184171,590,B,200481,4220,467,4687,0.099637295
20200528,AR,6538,112364,120,A,118902,3045,261,3306,0.078947368
20200528,AS,0,174,0,C,174,0,0,0,0
20200528,AZ,17763,185151,857,A+,202914,6147,501,6648,0.075361011
20200528,CA,101697,1688862,3973,B,1790559,50948,2717,53665,0.050628902
20200528,CO,24767,138356,1392,A,163123,3501,202,3703,0.054550365
20200528,CT,41559,193966,3826,B,235525,9907,256,10163,0.025189413
20200528,DC,8492,35022,453,A+,43514,731,86,817,0.105263158
20200528,DE,9171,47630,345,A,56801,1305,75,1380,0.054347826
20200528,FL,53285,898331,2446,A,951616,17394,651,18045,0.036076475
20200528,GA,45070,399576,1962,A,444646,3241,649,3890,0.166838046
20200528,GU,172,5790,5,C,5962,275,2,277,0.007220217
20200528,HI,644,51195,17,D,51839,636,1,637,0.001569859
20200528,IA,18573,124360,504,A+,142933,3194,213,3407,0.062518345
20200528,ID,2731,41144,82,A,43875,826,32,858,0.037296037
20200528,IL,115833,714133,5186,A,829966,24466,1527,25993,0.058746586
20200528,IN,33068,209219,2068,A+,242287,6323,631,6954,0.090739143
20200528,KS,9337,75151,205,A,84488,0,0,0,0
20200528,KY,9077,173024,400,A,182101,0,0,0,0
20200528,LA,38802,316225,2740,B,355027,7075,305,7380,0.041327913
20200528,MA,94895,467428,6640,A,562323,15640,1202,16842,0.071369196
20200528,MD,49709,225149,2428,B,274858,11517,1286,12803,0.100445208
20200528,ME,2189,43480,84,B,45669,0,52,52,1
20200528,MI,56014,448444,5372,A+,504458,9800,406,10206,0.039780521
20200528,MN,22947,202261,977,A,225208,8193,483,8676,0.055670816
20200528,MO,12673,158394,707,B,171067,5365,181,5546,0.032636134
20200528,MP,22,5401,2,D,5423,223,0,223,0
20200528,MS,14372,142125,693,A,156497,8037,328,8365,0.039210998
20200528,MT,485,36308,17,C,36793,1146,4,1150,0.003478261
20200528,NC,25412,349780,827,A,375192,10252,784,11036,0.071040232
20200528,ND,2481,65773,57,C,68254,872,42,914,0.04595186
20200528,NE,12976,80004,163,D,92980,2202,357,2559,0.13950762
20200528,NH,4286,61310,223,B,65596,1309,55,1364,0.040322581
20200528,NJ,157815,528042,11401,A+,685857,24345,1187,25532,0.046490678
20200528,NM,7252,172291,329,C,179543,-1225,122,-1103,-0.110607434
20200528,NV,8208,122982,406,A+,131190,2536,95,2631,0.036107944
20200528,NY,366733,1510056,23722,A,1876789,63477,1768,65245,0.027097862
20200528,OH,33915,326097,2098,B,360012,9811,476,10287,0.046271994
20200528,OK,6270,176136,326,A+,182406,3727,41,3768,0.010881104
20200528,OR,4086,115561,151,A+,119647,2607,48,2655,0.018079096
20200528,PA,70042,357804,5373,A,427846,7814,625,8439,0.074060908
20200528,PR,3486,0,131,B,3486,0,89,89,1
20200528,RI,14494,125871,677,A+,140365,1841,141,1982,0.071140262
20200528,SC,10788,171461,470,A,182249,6401,165,6566,0.025129455
20200528,SD,4793,34233,54,B,39026,937,83,1020,0.081372549
20200528,TN,21679,394310,356,B,415989,5986,373,6359,0.058657022
20200528,TX,59776,813442,1601,B,873218,15689,1855,17544,0.105734154
20200528,UT,8921,194586,106,B,203507,2666,215,2881,0.074626866
20200528,VA,41401,245880,1338,A+,287281,9082,1152,10234,0.112565957
20200528,VI,69,1617,6,C,1686,175,0,175,0
20200528,VT,974,30178,55,B,31152,150,3,153,0.019607843
20200528,WA,20406,315395,1095,B,335801,2785,225,3010,0.074750831
20200528,WI,16974,220719,550,A+,237693,10114,512,10626,0.0481837
20200528,WV,1906,88409,74,B,90315,1815,39,1854,0.021035599
20200528,WY,874,22286,15,C,23160,1634,24,1658,0.014475271
20200527,AK,412,45951,10,C,46363,1398,1,1399,0.000714796
20200527,AL,15843,179951,581,B,195794,1588,447,2035,0.21965602
20200527,AR,6277,109319,120,A,115596,3726,97,3823,0.025372744
20200527,AS,0,174,0,C,174,50,0,50,0
20200527,AZ,17262,179004,831,A+,196266,5056,479,5535,0.086540199
20200527,CA,98980,1637914,3884,B,1736894,38251,2247,40498,0.055484221
20200527,CO,24565,134855,1352,A,159420,3113,296,3409,0.086828982
20200527,CT,41303,184059,3769,B,225362,0,0,0,0
20200527,DC,8406,34291,445,A+,42697,570,72,642,0.112149533
20200527,DE,9096,46325,344,A,55421,477,30,507,0.059171598
20200527,FL,52634,880937,2400,A,933571,9968,379,10347,0.036628975
20200527,GA,44421,396335,1907,A,440756,-74880,691,-74189,-0.009314049
20200527,GU,170,5515,5,C,5685,0,1,1,1
20200527,HI,643,50559,17,D,51202,831,0,831,0
20200527,IA,18360,121166,491,A+,139526,3865,657,4522,0.145289695
20200527,ID,2699,40318,81,A,43017,1538,73,1611,0.04531347
20200527,IL,114306,689667,5083,A,803973,16068,1111,17179,0.064671983
20200527,IN,32437,202896,2030,A+,235333,4225,359,4584,0.078315881
20200527,KS,9337,75151,205,A,84488,2970,119,3089,0.038523794
20200527,KY,9077,173024,400,A,182101,11739,506,12245,0.041322989
20200527,LA,38497,309150,2722,B,347647,6178,443,6621,0.066908322
20200527,MA,93693,451788,6473,A,545481,0,0,0,0
20200527,MD,48423,213632,2392,B,262055,6832,736,7568,0.097251586
20200527,ME,2137,43480,81,B,45617,8030,28,8058,0.003474808
20200527,MI,55608,438644,5334,A+,494252,9469,504,9973,0.050536448
20200527,MN,22464,194068,942,A,216532,6130,504,6634,0.075972264
20200527,MO,12492,153029,696,B,165521,5022,201,5223,0.03848363
20200527,MP,22,5178,2,D,5200,260,0,260,0
20200527,MS,14044,134088,670,A,148132,0,313,313,1
20200527,MT,481,35162,17,C,35643,1807,2,1809,0.001105583
20200527,NC,24628,339528,794,A,364156,11337,488,11825,0.041268499
20200527,ND,2439,64901,56,C,67340,469,17,486,0.034979424
20200527,NE,12619,77802,153,D,90421,2115,264,2379,0.110970996
20200527,NH,4231,60001,214,B,64232,1159,34,1193,0.028499581
20200527,NJ,156628,503697,11339,A+,660325,23569,864,24433,0.03536201
20200527,NM,7130,173516,325,C,180646,3181,104,3285,0.031659056
20200527,NV,8113,120446,396,A+,128559,5076,116,5192,0.022342065
20200527,NY,364965,1446579,23643,A,1811544,36287,1129,37416,0.030174257
20200527,OH,33439,316286,2044,B,349725,9892,433,10325,0.041937046
20200527,OK,6229,172409,322,A+,178638,18605,92,18697,0.004920575
